OCC_TITLE	H_MEAN	A_MEAN
Mobile Heavy Equipment Mechanics, Except Engines	26.40	54,910
Rail Car Repairers	25.85	53,770
Motorboat Mechanics and Service Technicians	20.42	42,480
Motorcycle Mechanics	19.42	40,380
Outdoor Power Equipment and Other Small Engine Mechanics	18.16	37,780
Bicycle Repairers	15.88	33,030
Recreational Vehicle Service Technicians	20.87	43,410
Tire Repairers and Changers	14.56	30,290
Mechanical Door Repairers	20.42	42,480
Control and Valve Installers and Repairers, Except Mechanical Door	25.03	52,060
Heating, Air Conditioning, and Refrigeration Mechanics and Installers	24.65	51,270
Home Appliance Repairers	22.78	47,390
Industrial Machinery Mechanics	28.74	59,780
Maintenance Workers, Machinery	25.19	52,390
Millwrights	26.88	55,900
Electrical Power-Line Installers and Repairers	33.07	68,790
Telecommunications Line Installers and Repairers	28.23	58,710
Camera and Photographic Equipment Repairers	*	*
Medical Equipment Repairers	25.30	52,630
Musical Instrument Repairers and Tuners	19.60	40,760
Watch and Clock Repairers	18.61	38,720
Precision Instrument and Equipment Repairers, All Other	25.87	53,810
Maintenance and Repair Workers, General	19.27	40,080
Wind Turbine Service Technicians	26.54	55,190
Coin, Vending, and Amusement Machine Servicers and Repairers	18.65	38,790
Locksmiths and Safe Repairers	20.56	42,770
Manufactured Building and Mobile Home Installers	16.35	34,010
Riggers	23.11	48,070
Signal and Track Switch Repairers	38.20	79,460
Helpers--Installation, Maintenance, and Repair Workers	15.84	32,950
Installation, Maintenance, and Repair Workers, All Other	20.88	43,430
Production Occupations	20.55	42,740
First-Line Supervisors of Production and Operating Workers	32.80	68,230
Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	24.10	50,130
Coil Winders, Tapers, and Finishers	17.31	35,990
Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers	17.85	37,120
Engine and Other Machine Assemblers	17.54	36,480
Structural Metal Fabricators and Fitters	20.36	42,340
Fiberglass Laminators and Fabricators	17.67	36,760
Miscellaneous Assemblers and Fabricators	17.29	35,950
Bakers	13.43	27,930
Butchers and Meat Cutters	15.30	31,830
Meat, Poultry, and Fish Cutters and Trimmers	15.86	33,000
Slaughterers and Meat Packers	15.79	32,840
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	13.81	28,720
Food Batchmakers	15.60	32,450
Food Cooking Machine Operators and Tenders	14.02	29,160
Food Processing Workers, All Other	15.74	32,750
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	19.09	39,710
Forging Machine Setters, Operators, and Tenders, Metal and Plastic	19.57	40,700
Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	20.70	43,050
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	17.68	36,770
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	18.72	38,930
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	18.50	38,480
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	19.10	39,720
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	21.31	44,330
Machinists	23.95	49,810
Metal-Refining Furnace Operators and Tenders	22.12	46,010
Pourers and Casters, Metal	17.69	36,790
Model Makers, Metal and Plastic	29.99	62,380
Patternmakers, Metal and Plastic	22.60	47,000
Foundry Mold and Coremakers	16.30	33,900
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	15.80	32,870
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	17.16	35,690
Tool and Die Makers	25.05	52,110
Welders, Cutters, Solderers, and Brazers	24.31	50,560
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders	20.84	43,350
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	19.51	40,580
Layout Workers, Metal and Plastic	21.72	45,180
Plating Machine Setters, Operators, and Tenders, Metal and Plastic	17.73	36,870
Tool Grinders, Filers, and Sharpeners	15.40	32,030
Metal Workers and Plastic Workers, All Other	17.52	36,450
Prepress Technicians and Workers	19.06	39,650
Printing Press Operators	18.89	39,290
Print Binding and Finishing Workers	14.31	29,760
Laundry and Dry-Cleaning Workers	12.02	24,990
Pressers, Textile, Garment, and Related Materials	11.98	24,910
Sewing Machine Operators	13.00	27,050
Shoe and Leather Workers and Repairers	13.83	28,760
Sewers, Hand	11.90	24,750
Tailors, Dressmakers, and Custom Sewers	14.75	30,690
Textile Bleaching and Dyeing Machine Operators and Tenders	*	*
Textile Cutting Machine Setters, Operators, and Tenders	12.12	25,210
Textile Knitting and Weaving Machine Setters, Operators, and Tenders	15.37	31,970
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	16.15	33,580
Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers	14.95	31,090
Fabric and Apparel Patternmakers	15.58	32,410
Upholsterers	15.49	32,230
Textile, Apparel, and Furnishings Workers, All Other	14.38	29,900
Cabinetmakers and Bench Carpenters	16.22	33,740
Furniture Finishers	16.38	34,080
Patternmakers, Wood	24.66	51,290
Sawing Machine Setters, Operators, and Tenders, Wood	16.22	33,750
Woodworking Machine Setters, Operators, and Tenders, Except Sawing	15.96	33,200
Woodworkers, All Other	15.94	33,160
Power Distributors and Dispatchers	38.88	80,860
Power Plant Operators	37.21	77,390
Stationary Engineers and Boiler Operators	23.28	48,420
Water and Wastewater Treatment Plant and System Operators	19.83	41,240
Chemical Plant and System Operators	37.80	78,620
Gas Plant Operators	42.70	88,820
Petroleum Pump System Operators, Refinery Operators, and Gaugers	37.57	78,150
Plant and System Operators, All Other	20.51	42,650
Chemical Equipment Operators and Tenders	31.14	64,760
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders	20.96	43,600
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	19.13	39,790
Grinding and Polishing Workers, Hand	15.53	32,300
Mixing and Blending Machine Setters, Operators, and Tenders	18.00	37,440
Cutters and Trimmers, Hand	11.84	24,630
Cutting and Slicing Machine Setters, Operators, and Tenders	17.91	37,240
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	18.64	38,780
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	18.31	38,090
Inspectors, Testers, Sorters, Samplers, and Weighers	20.77	43,200
Jewelers and Precious Stone and Metal Workers	20.76	43,180
Dental Laboratory Technicians	21.76	45,250
Medical Appliance Technicians	26.59	55,320
Ophthalmic Laboratory Technicians	16.12	33,520
Packaging and Filling Machine Operators and Tenders	15.90	33,070
Painting, Coating, and Decorating Workers	14.87	30,930
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	21.26	44,210
Semiconductor Processing Technicians	16.34	33,990
Photographic Process Workers and Processing Machine Operators	16.30	33,910
Computer Numerically Controlled Tool Operators	22.40	46,590
Computer Numerically Controlled Tool Programmers	28.77	59,830
Adhesive Bonding Machine Operators and Tenders	17.12	35,610
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	14.57	30,310
Cooling and Freezing Equipment Operators and Tenders	20.90	43,470
Etchers and Engravers	16.17	33,640
Molders, Shapers, and Casters, Except Metal and Plastic	16.66	34,650
Paper Goods Machine Setters, Operators, and Tenders	18.30	38,070
Tire Builders	19.53	40,620
Helpers--Production Workers	15.21	31,630
Production Workers, All Other	17.63	36,670
Transportation and Material Moving Occupations	19.60	40,770
Aircraft Cargo Handling Supervisors	30.25	62,930
First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors	27.96	58,150
Airline Pilots, Copilots, and Flight Engineers	*	210,160
Commercial Pilots	*	107,990
Air Traffic Controllers	67.49	140,390
Airfield Operations Specialists	37.14	77,260
Flight Attendants	*	59,770
Ambulance Drivers and Attendants, Except Emergency Medical Technicians	15.59	32,420
Driver/Sales Workers	15.03	31,250
Heavy and Tractor-Trailer Truck Drivers	23.15	48,150
Light Truck Drivers	20.19	41,990
Bus Drivers, School	15.76	32,780
Bus Drivers, Transit and Intercity	20.05	41,710
Shuttle Drivers and Chauffeurs	13.66	28,420
Taxi Drivers	14.55	30,270
Motor Vehicle Operators, All Other	14.42	29,990
Locomotive Engineers	36.60	76,120
Rail Yard Engineers, Dinkey Operators, and Hostlers	23.78	49,450
Railroad Brake, Signal, and Switch Operators and Locomotive Firers	29.81	62,000
Railroad Conductors and Yardmasters	31.93	66,410
Subway and Streetcar Operators	21.21	44,120
Sailors and Marine Oilers	24.22	50,370
Captains, Mates, and Pilots of Water Vessels	50.00	104,000
Motorboat Operators	20.14	41,880
Ship Engineers	46.11	95,920
Bridge and Lock Tenders	22.96	47,750
Parking Attendants	11.61	24,150
Automotive and Watercraft Service Attendants	14.06	29,250
Aircraft Service Attendants	17.77	36,960
Traffic Technicians	20.65	42,960
Transportation Inspectors	43.45	90,380
Passenger Attendants	12.90	26,840
Transportation Workers, All Other	21.64	45,010
Conveyor Operators and Tenders	15.59	32,420
Crane and Tower Operators	29.76	61,890
Dredge Operators	21.66	45,060
Hoist and Winch Operators	26.91	55,970
Industrial Truck and Tractor Operators	18.39	38,260
Cleaners of Vehicles and Equipment	13.20	27,460
Laborers and Freight, Stock, and Material Movers, Hand	15.71	32,670
Machine Feeders and Offbearers	15.93	33,130
Packers and Packagers, Hand	12.70	26,420
Stockers and Order Fillers	15.70	32,660
Gas Compressor and Gas Pumping Station Operators	25.00	52,010
Pump Operators, Except Wellhead Pumpers	28.94	60,200
Wellhead Pumpers	34.65	72,060
Refuse and Recyclable Material Collectors	16.84	35,040
Tank Car, Truck, and Ship Loaders	27.73	57,680
Material Moving Workers, All Other	20.35	42,330
